mous caltime
uid___A001_X1465_X2413 4.010833333333333
uid___A001_X1465_X2437 17.71638888888889
uid___A001_X1465_X248f 4.903611111111111
uid___A001_X1465_X2495 31.965555555555554
uid___A001_X1465_X25b6 20.751666666666665
uid___A001_X1465_X2662 3.4461111111111116
uid___A001_X1465_X266e 14.91
uid___A001_X1465_X2672 6.571111111111111
uid___A001_X1465_X2676 4.164444444444444
uid___A001_X1465_X267a 4.14138888888889
uid___A001_X1465_X2686 11.913055555555555
uid___A001_X1465_X268e 3.9194444444444443
uid___A001_X1465_X26a 4.202777777777778
uid___A001_X1465_X26e 1.8305555555555555
uid___A001_X1465_X270d 4.871944444444445
uid___A001_X1465_X274 5.451388888888889
uid___A001_X1465_X278 1.7416666666666667
uid___A001_X1465_X280 2.7816666666666667
uid___A001_X1465_X282 1.743888888888889
uid___A001_X1465_X2859 11.040833333333333
uid___A001_X1465_X286 1.9091666666666667
uid___A001_X1465_X286d 9.008055555555556
uid___A001_X1465_X288 1.9455555555555555
uid___A001_X1465_X2881 11.439722222222223
uid___A001_X1465_X2895 14.842222222222222
uid___A001_X1465_X28a5 436.08416666666665
uid___A001_X1465_X28ba 5.514444444444444
uid___A001_X1465_X28c 3.0458333333333334
uid___A001_X1465_X28d3 30.193055555555556
uid___A001_X1465_X28e7 3.1355555555555554
uid___A001_X1465_X28eb 9.584166666666667
uid___A001_X1465_X28ef 3.629722222222222
uid___A001_X1465_X290e 2.981388888888889
uid___A001_X1465_X2914 3.0788888888888892
uid___A001_X1465_X292 1.1683333333333334
uid___A001_X1465_X296 1.9419444444444445
uid___A001_X1465_X29c 2.214166666666667
uid___A001_X1465_X2a0 1.9619444444444445
uid___A001_X1465_X2a2 1.2383333333333333
uid___A001_X1465_X2a6 2.77
uid___A001_X1465_X2ac 1.7908333333333333
uid___A001_X1465_X2ae 1.1702777777777778
uid___A001_X1465_X2ae4 5.028888888888889
uid___A001_X1465_X2b2 1.9530555555555555
uid___A001_X1465_X2ba 1.3772222222222223
